TIME_STAMP	Qualcomm Lte/LteAdv LL1 PUCCH CSF(Per TTI) Pri. Component Carrier System Frame Number	Qualcomm Lte/LteAdv LL1 PUCCH CSF(Per TTI) Pri. Component Carrier System Subframe Number	Qualcomm Lte/LteAdv LL1 PUCCH CSF(Per TTI) Pri. Component Carrier CQI CW0	Qualcomm Lte/LteAdv LL1 PUCCH CSF(Per TTI) Pri. Component Carrier Rank Index	Qualcomm Lte/LteAdv LL1 PUSCH CSF(Per TTI) Pri. Component Carrier System Frame Number	Qualcomm Lte/LteAdv LL1 PUSCH CSF(Per TTI) Pri. Component Carrier System Subframe Number	Qualcomm Lte/LteAdv LL1 PUSCH CSF(Per TTI) Pri. Component Carrier WideBand CQI CW0	Qualcomm Lte/LteAdv LL1 PUSCH CSF(Per TTI) Pri. Component Carrier Rank Index
2021-02-08 19:28:12.365394					186	8	15	Rank1
2021-02-08 19:28:12.365486	190	6	15					
2021-02-08 19:28:12.462217	194	6		Rank1				
2021-02-08 19:28:12.465267	198	6	15					
2021-02-08 19:28:12.832056	202	6		Rank1				
2021-02-08 19:28:13.260160	218	6		Rank1				
2021-02-08 19:28:13.260535	250	6		Rank1				
2021-02-08 19:28:13.401572	282	6		Rank1				
2021-02-08 19:28:13.401701					283	4	15	Rank1
2021-02-08 19:28:13.401968	286	6	15					
2021-02-08 19:28:13.404582	290	6		Rank1				
2021-02-08 19:28:13.623395	294	6	15					
2021-02-08 19:28:13.623644	298	6		Rank1				
2021-02-08 19:28:13.701449	302	6	15					
2021-02-08 19:28:13.701752	314	6		Rank1				
2021-02-08 19:28:13.704906					318	1	15	Rank1
2021-02-08 19:28:13.704967	318	6	15					
2021-02-08 19:28:13.818647	322	6		Rank1				
2021-02-08 19:28:13.818760					323	8	15	Rank1
2021-02-08 19:28:13.821766					326	1	15	Rank1
2021-02-08 19:28:13.821829	326	6	15					
2021-02-08 19:28:13.824269	330	6		Rank1				
2021-02-08 19:28:14.218872	334	6	15					
2021-02-08 19:28:14.221447	338	6		Rank1				
2021-02-08 19:28:14.221673	342	6	15					
2021-02-08 19:28:14.539688	346	6		Rank1				
2021-02-08 19:28:14.638722	378	6		Rank1				
2021-02-08 19:28:14.643342					410	0	15	Rank1
2021-02-08 19:28:14.643381	410	6		Rank1				
2021-02-08 19:28:14.643525	414	6	15					
2021-02-08 19:28:14.873150	418	6		Rank1				
2021-02-08 19:28:14.873346	422	6	15					
2021-02-08 19:28:15.176303	426	6		Rank1				
2021-02-08 19:28:15.265456	442	6		Rank1				
